99999 99977
1 53278000 735643779
1 183135086 400302829
1 840991229 595199827
1 603687527 109012792
1 157474461 766391501
1 78227292 506104680
1 378182490 708997957
1 440169576 996383564
1 631212370 217086410
1 445260388 658314968
1 8810978 495692759
1 559655292 148118784
1 493524817 89754605
1 774231875 911705952
1 779621800 305862253
1 814479893 902795673
1 86583562 801971024
1 399880358 105824021
1 20972078 876353994
1 310001768 404387154
1 697950769 695873247
1 893112998 432443434
1 729573222 598496362
1 437121249 948254134
1 824576969 953143892
1 721230075 316166857
1 423318374 98589307
1 810347750 173344976
1 565022166 947835506
1 110544299 930635794
1 113356092 357843355
1 898571214 181387994
1 438067045 811861977
1 879658821 941357177
1 125501710 478298616
1 44190110 821320555
1 653659576 677639427
1 136767910 643739658
1 925271776 906629883
1 326036448 109292970
1 145462245 740540007
1 493512789 680578587
1 289368433 512276623
1 107453393 82912671
1 371629004 879203330
1 72609067 362856151
1 417014898 175745456
1 199266848 943887241
1 173649693 100113978
1 490342685 294753256
1 42394331 349928891
1 707662675 922141639
1 178483374 528390537
1 101143379 50184654
1 443587008 96599650
1 636522762 422015227
1 429112684 639771940
1 100563882 107534585
1 987398598 602096217
1 667980809 501928925
1 287582185 201072476
1 609560208 26914597
1 198606611 584702217
1 51734105 557204278
1 584179776 14261148
1 856075139 707404851
1 906852456 777785233
1 427858614 244475342
1 901361307 622819389
1 115066277 622108748
1 495581476 89262644
1 89986767 579105481
1 155315431 193817712
1 606912061 971169624
1 850310452 811579626
1 105794355 116748416
1 495058196 884430272
1 908909245 779478182
1 234725590 105531591
1 127494535 759453686
1 422583852 638379935
1 384865467 6137683
1 836037192 291583623
1 778526319 866960840
2 644978343 801044392
1 441678043 224879600
1 391958645 316601166
1 520450499 510642462
1 111966025 55780912
1 685964929 113323185
1 830155586 223679343
1 67724365 77069645
1 366398815 22246334
1 836069743 631646858
1 572101596 820214931
1 80709704 864287380
1 612574470 502513572
1 659579047 27435693
1 109306711 812352170
1 671316965 738127995
1 779941974 37554308
1 616482786 410566105
1 726396966 109274367
1 150889307 611374220
1 345513416 41179802
1 460462962 617422193
1 633997418 573726490
1 60303699 704966287
1 230812681 913263085
1 415977083 267562996
1 773746500 136921493
1 341774635 480513298
1 842453770 760827719
1 677038066 610413456
1 143687263 618683522
1 95571464 99311139
1 821862890 227753304
1 133792105 814487482
1 138342175 978102680
1 223559759 419970910
1 565599286 57556758
1 989308534 135630795
1 671599577 193020585
1 61941329 104304864
1 528925243 211744168
1 404671723 29916990
1 794582216 135482197
1 129912937 248841738
1 748526885 325130647
1 659498265 24237688
1 26608192 527284368
1 50521739 655805386
1 150284348 388267964
1 411050913 77802392
1 193845370 19419669
1 966150005 959279068
1 753974370 539214221
1 73782914 409844788
1 923125040 186176283
1 10468715 647012529
1 73559109 943321447
1 388114151 919678496
1 665376343 32846872
1 71871857 64490985
1 428592782 491713614
1 705682163 995414807
1 302586793 334953855
1 465417312 133320410
1 123660117 177373279
1 15471299 766558162
1 549191347 374254223
1 496064443 616554425
1 25526354 317680856
1 287049205 187717273
1 64109136 592941605
1 779375940 468660527
1 547086244 501010101
1 430418593 113348033
1 798584342 827220822
1 497898019 575716621
1 143374116 212115678
1 246118953 467738949
1 674756439 563309044
1 479189981 475312995
1 389059779 987484185
1 426838434 71157836
1 380459724 120742727
1 138781894 133030394
1 988011889 965238397
1 965810036 333365957
1 344345953 746981984
1 57620037 490794218
1 26502504 898469799
1 158688641 52783360
1 527928086 277890576
1 530877607 458366142
1 27348562 878759654
1 422225499 57992005
1 452804829 756199682
1 520444031 194913364
1 982707416 859790213
1 900870443 962802729
1 146821858 969235581
1 104658381 997281152
1 913297916 377944034
1 588980932 250395101
1 912529514 348313502
1 360388609 940445501
1 459342626 115287864
1 968475094 27839176
1 363154583 183530285
1 909867080 697941851
1 715299530 425744804
1 785859933 716443459
1 149605419 862410143
1 773001037 345343087
1 749153408 117684473
1 902760056 716295137
1 101712694 674222202
1 668428503 790892464
1 802426021 176831787
1 290733849 838503218
1 388664156 426194296
1 32370919 744672942
1 461887301 579462580
1 182391198 989700517
1 997864381 52346975
1 660320340 955950331
1 553264559 113251603
1 778007492 91475108
1 423373069 810826750
1 870757935 875042887
1 63472745 634536303
1 10749464 863572256
1 286794460 994163930
1 174853506 798224824
1 3804971 111595343
1 564364983 639979060
1 22210730 781068179
1 713341675 525309102
1 791461339 577015055
1 128864947 169648053
1 712791898 22625298
1 21496123 94043721
1 720320816 66636373
1 552910994 613335589
1 646145179 730199152
1 769004541 102732941
1 86814312 385218980
1 245468776 70610923
1 660721403 899660162
1 696517709 232753944
1 254529687 93024585
1 330360209 118805168
1 347599253 945125331
1 197904754 526009853
1 299511113 974586201
1 503351338 887852233
1 990268671 240267825
1 871095783 110803282
1 667413136 698467049
1 845785295 712172150
1 141021311 116206267
1 707712278 755819260
1 802964833 435689061
1 170978328 92617588
1 743415912 324353316
1 947139949 77826210
1 123060001 35663324
1 932647962 324136459
1 35614584 573859422
1 468499489 395861721
1 717374268 936128018
1 946835906 410226450
1 30042054 258144533
1 915706997 65179108
1 502088687 934291924
1 657450869 973391468
1 499264812 718065033
1 702089539 743725355
1 699773323 469788689
1 405668370 955199012
1 898043197 896940863
1 460082688 668608016
1 508815455 174448409
1 17438979 39144061
1 743131172 40716852
1 400658960 159402306
1 623841572 683114528
1 439695658 473694679
1 710488821 176537227
1 90222235 34627441
1 303577374 951263193
1 57403989 361664198
1 715105790 110018849
1 110631909 817139908
1 526126184 412599789
1 667657064 503197651
1 331878881 873321708
1 734591457 188109774
1 596089569 259151506
1 78118406 823541325
1 719390737 467184149
1 320718358 922467514
1 913722594 280077661
1 77849577 600299616
1 528647683 634739120
1 77107584 14525147
1 829657332 232437531
1 830439637 495735784
1 447285144 121629286
1 160081533 486294018
1 105896249 327292158
1 159477300 68368222
1 813178854 304048248
1 373428318 262524092
1 157792886 675709535
1 419803176 941177215
1 547632956 99664097
1 350036516 106015279
1 971106930 518455310
1 564397982 194593253
1 494715359 771841176
1 498273181 438613414
1 10711264 428566278
1 603162202 224315174
1 100401603 113552235
1 91175056 661799390
1 51054441 664488243
1 570580996 33294495
1 108050435 25474261
1 32639920 409278964
1 413230133 989709511
1 107099486 15722172
1 34400336 493346109
1 76396356 384291542
1 245482349 298732334
1 297878600 454227621
1 552713681 237558223
1 448053226 352903000
1 412862404 458760571
1 710762729 130636620
1 97279536 742106185
1 305508183 42631704
1 105085336 937684318
1 357026295 471630347
1 429309239 648304531
1 109377251 57455725
1 110250619 289723328
1 893572281 709161874
1 40646942 46333026
1 935282317 502584357
1 449842295 2509556
1 956621097 868195837
1 466543257 729725202
1 50262265 796814584
1 17726547 15805652
1 390295632 76607664
1 69545770 63125931
1 726317904 927962980
1 863889561 47892938
1 591339769 93179267
1 464544165 136219241
1 425243890 41460592
1 524611374 368486814
1 16795506 754690163
1 970513473 74620324
1 408360380 748149426
1 495978834 177723962
1 850100386 221462589
1 551227572 237349446
1 308906667 326377470
1 388839604 227465185
1 982779480 277991283
1 357354005 329979954
1 602892595 987997619
1 60802544 499119614
1 95414656 611322730
1 909130701 206521880
1 948188427 874231849
1 900387184 283119657
1 991346942 389920768
1 110186591 568109801
1 694709431 905796656
1 369485608 214885110
1 159560126 667446226
1 892730638 803074924
1 771735987 912989276
1 229001158 531767082
1 661348563 702920047
1 480758147 268696615
1 206503873 169998537
1 476868420 111542914
1 716764874 431461295
1 195831411 39072404
1 287623037 887672040
1 585126808 691621021
1 28267940 298360171
1 228756604 716515298
1 8590663 294847270
1 887675015 378059974
1 951180406 413793952
1 722125185 327895098
1 165512954 784895013
1 7084846 401879646
1 577538581 857825005
1 656999504 622729432
1 208156124 229115105
1 304704927 574693641
1 160176063 75059728
1 902842670 750283566
1 614493854 342324333
1 575331586 272082039
1 296098068 593597355
1 574452058 876745541
1 796050530 398136900
1 438466691 293282780
1 697599488 441365843
1 918412029 431495345
1 591357784 395957372
1 958206296 386326597
1 458321555 134016743
1 504022233 426166263
1 630853002 412617953
1 62163570 106068548
1 727231382 248402197
1 517088292 629582813
1 449492727 569771121
1 9002978 989195956
1 198437788 101799125
1 583575268 384692005
1 282533264 243203109
1 366291152 567259362
1 984596775 401992221
1 290849980 435811866
1 93098135 332259929
1 627992293 931827093
1 907529643 67343838
1 64275089 880124960
1 133855610 88837439
1 109596079 233309205
1 673191573 32409946
1 311424150 481019889
1 848465601 869939927
1 750215292 784899685
1 336452433 224577458
1 505305172 513685566
1 635390337 716701075
1 662489561 906825679
1 408561167 182314310
1 488367367 307838335
1 485146084 647804707
1 660376737 756331063
1 281298282 168718527
1 7557673 320274938
1 23379930 542933265
1 998477869 773305203
1 226319879 564667516
1 195283432 773629008
1 193382136 823780419
1 803324157 239418010
1 24432285 257015996
1 663052363 421399236
1 227987747 472216159
1 479936712 347740452
1 941292725 587780204
1 36886167 908991942
1 53644075 445815363
1 651979185 145573879
1 733179697 290000993
1 383415674 616291918
1 905668021 991317589
1 9612880 502400635
1 621958919 460641684
1 822635644 537549322
1 790440122 386268690
1 547016911 335730370
1 606206320 847198872
1 589707873 376169184
1 232969066 441382359
1 797659582 671670100
1 985835711 104458172
1 89173533 943467172
1 287192497 448542270
1 488941468 366819254
1 993538739 720230948
1 137480721 532030831
1 883078857 439843760
1 992437879 397946104
1 687947246 277408074
1 2908758 288350403
1 474187169 351935366
1 316398181 327696673
1 484900476 814838345
1 278908554 452244255
1 6773272 21749213
1 798594616 206917362
1 270365694 108305653
1 698691883 473895785
1 793000124 669570786
1 420308294 47782275
1 952309061 55745714
1 131399754 822476362
1 982512651 88363574
1 471482687 142346626
1 331472082 271680434
1 102307009 132477594
1 488825483 210437937
1 662991933 405752226
1 734882024 983723471
1 116386856 549264953
1 47631538 679342482
1 325287253 402474487
1 726653122 912499543
1 219491570 410890022
1 425879570 987916117
1 935238033 905786816
1 964321830 297912901
1 122093161 172874042
1 548070179 858136470
1 405411699 936296809
1 954622688 493190479
1 591132223 692899517
1 31813807 118709793
1 908008304 669748324
1 632904029 731511812
1 612931273 849829230
1 458724191 311185407
1 298953263 543240908
1 310762827 103582463
1 465161275 125073845
1 148235330 310160790
1 612756702 417803149
1 519424671 449420442
1 904826868 886444647
1 689118971 643237326
1 243019469 61802536
1 372397049 109855185
1 416879353 399629357
1 803933490 536038084
2 996860755 364273969
1 344439857 532247934
1 269071478 831253811
1 777437414 893087328
1 904767879 895016524
1 972560505 119348796
1 996563760 815129945
1 338716139 970483623
1 733908248 797339415
1 411527338 642626426
1 764274512 855009055
1 172324859 455949057
1 303326447 674395329
1 955805478 837967764
1 762358778 76543844
1 169440344 220545686
1 548243937 276498460
1 832644775 50268151
1 466557760 766455701
1 637297824 209075310
1 788310149 95034478
1 686749975 629710847
1 273387583 357586548
1 582344095 19720217
1 558822442 975772941
1 143016415 435664490
1 138782253 139064107
1 403836112 225209864
1 120448571 95032254
1 59610442 938297770
1 920479283 23116393
1 440380544 247155446
1 798612058 293043634
1 264785813 462021085
1 588218872 120333141
1 60410752 356722411
1 984355367 639615259
1 926592819 841584536
1 168443932 446696956
1 515460945 196049195
1 332974300 749654596
1 921697575 171597214
1 266837304 788713392
1 134376703 463934324
1 74085422 199129450
1 181827805 903667532
1 807612552 447512424
1 208417022 112039075
1 546046155 200103454
1 894368455 58072763
1 710217973 712340763
1 100374135 6402628
1 743232711 392777756
1 549919545 875659774
1 106834087 850128473
1 255794648 25871289
1 897229645 108474281
1 132795467 96378145
1 40032009 655593752
1 125755504 448847080
1 252799176 73097266
1 786961754 907396183
1 892731325 460116264
1 407154011 947542113
1 846166630 678818554
1 616045833 863653044
1 281046839 237683320
1 718313158 683666719
1 402700019 458247636
1 298027168 803726350
1 62030572 811233387
1 153274812 49851109
1 934187781 434070628
1 962505106 976487338
1 575167678 812247577
1 817613734 679148763
1 225888265 900465606
1 548471720 164385116
1 514972510 576856738
1 149264953 228143953
1 212653964 662384340
1 113705870 380068416
1 990466122 263859488
1 927945541 954463073
1 45286410 712460410
1 318854752 813096177
1 746786053 131738281
1 822175683 396919383
1 834244172 14046119
1 220676830 4202019
1 919470467 247815057
1 1484725 124431536
1 659340289 516618703
1 86651040 143095192
1 413965997 826978946
1 161731011 291783353
1 869635105 976486831
1 934173620 196066701
1 689844253 95633665
1 112650586 385305895
1 708646624 279503306
1 395741032 255648643
1 397688592 983056280
1 484875664 397823061
1 108711234 394104819
1 403346559 587227181
1 437639325 65622878
1 787858250 149440348
1 793718008 643123870
1 777116753 5726617
1 146161531 608537927
1 973124219 856271759
1 490309820 742391201
1 109151137 345103599
1 506532207 661626341
1 14463254 211236445
1 919188591 598270997
1 407862032 962349178
2 634611868 517874474
1 123715076 101069192
1 539940690 664768255
1 72281197 501817424
1 317457502 158856966
1 175965680 370201841
1 712251852 743028186
1 245820566 895199581
1 92927749 54539583
1 244964815 397494406
1 71294596 538357102
1 227096168 519833435
1 828779699 721466651
1 55697930 605217996
1 155946712 859317822
1 634340887 51442679
1 69771967 924356685
1 718522614 702004995
1 968344871 341169931
1 532281497 785730324
1 84051677 759779260
1 32119003 598666602
1 729650902 904064122
1 194647577 824232258
1 286834106 867515674
1 173203819 196244248
1 989786418 931997664
1 595191919 411754907
1 554509980 363184458
1 629845482 866119911
1 772441280 881946845
1 539327366 94050022
1 332921402 215102979
1 480675945 34611248
1 629485591 259882815
2 728049829 764633975
1 740786908 88356028
1 57068040 10336649
1 32104228 143321755
1 1088101 546317840
1 637270480 104009771
1 785514038 552458557
1 657237985 335912305
1 309476778 963793390
1 605467360 105378612
1 774700673 993837928
1 765032498 709577875
1 721542351 122138648
1 298619343 18993340
1 163675550 115900690
1 488634098 288797536
1 536447145 930815909
1 800301486 769972619
1 810089030 120005230
1 116287636 29158060
1 851371362 107919751
1 45110488 903223003
1 31457215 420435343
1 161992062 738805285
1 430673118 303203836
1 187109314 830181190
1 53687851 181558595
1 317499367 862482021
1 71066274 202937964
1 124562083 865856803
1 843613575 719296109
1 732317812 836685327
1 612938584 179726629
1 534911200 885992058
1 335158997 960635076
1 235755913 242301076
1 292246615 286736194
1 895188802 960742910
1 763707531 122715398
1 51600438 812651725
1 246388419 494665295
1 972792453 722731538
1 156755450 773896928
1 650853806 765703271
1 684687285 114796947
1 675683139 105970415
1 302536741 641213538
1 415493056 367950726
1 382361446 870729676
1 706867303 232204895
1 918011473 496306663
1 792938491 426683533
1 360630541 918650753
1 269883161 440824463
1 766131409 851622229
1 722011933 571952381
1 565053936 688815318
1 792102961 623337774
1 124650342 201742169
1 779471699 723576971
1 987494985 74588879
1 659072403 309225995
1 899086514 252100506
1 197953437 551246456
1 168229411 136209803
1 65944083 13619707
1 595076825 624853696
1 182369473 624568442
1 869093961 825919280
1 900144919 860844165
1 166549810 824443207
1 89345615 540682052
1 448369661 228775104
1 348714459 361039750
1 315168360 339953018
1 436970450 915764057
1 421545391 157813662
1 389595382 251945571
1 304528318 753909825
1 803674815 483454653
1 552935512 818388193
1 917421337 960804077
1 273839352 360533543
1 712916959 977041878
1 500085017 470864939
1 267502607 26021256
1 600475706 962512067
1 68272771 497173277
1 695002906 750285109
1 534622720 125454570
1 703852742 106085696
1 197140766 925070488
1 24063954 715949242
1 536431045 453201787
1 691522607 31936863
1 993034163 829756704
1 469501893 856375151
1 701102392 185131255
1 715557010 251222448
1 612028201 58788724
1 19438071 278144953
2 934463860 779163087
1 450859144 267326592
1 646469016 877960317
1 684659271 850987071
1 124063500 76106910
1 911568620 378437220
1 27949579 597139207
1 386223317 205202516
1 163321889 466887557
1 201187361 9694527
1 986436739 261496111
1 412630663 858856878
1 136719924 44260378
1 482111058 384751675
1 674048627 759036064
1 103363108 495442889
1 961697258 76866462
1 460725298 377030982
1 931419331 356393134
1 500956422 84183245
1 816801786 65124256
1 879137972 777382622
1 679292112 632437510
1 745902297 517858140
1 967871666 977948084
1 67374264 635373079
1 982201528 154286607
1 53459350 843131004
1 818378207 997249661
1 669944695 296706222
1 672938682 431543272
1 353153083 592044251
1 557094922 65653134
1 66629770 7564303
1 779471434 719123116
1 481955040 57524443
1 607136849 454214246
1 869993379 910052077
1 959582998 109258416
2 808883914 340457088
1 980003192 861559101
1 381521347 636087665
1 115083677 121571970
1 73030254 206316541
1 296339486 356142387
1 132824420 582991216
1 127850159 293975313
1 253875387 626601298
1 689118246 424030829
1 61585766 777829886
1 623693380 339935231
1 161450467 19131286
1 711046453 958723663
1 461065921 13935871
1 697273872 56683603
1 945129666 650738181
1 123963049 973784109
1 83037976 340849238
1 147418988 60759834
1 677471372 303052810
1 682837978 305286678
1 802503924 486147508
1 121973760 313585082
1 481336246 247388273
1 521790795 562160864
1 662963088 68437958
1 947096351 492558271
1 378960468 545067252
1 540505568 214233144
1 111417182 130321337
1 510051781 478543021
1 103138199 217386042
1 603536709 76203382
1 988862554 437000945
1 549996666 817327352
1 459899308 734024003
1 715007976 613542598
1 585257610 949548010
1 85518222 76670820
1 167338010 393840147
2 64860700 778049380
1 98141202 984719696
1 616735354 360509187
1 135873656 853419631
1 330789409 535413558
1 346137537 384636
1 362238046 18699877
1 985972593 257550299
1 737824003 830419221
1 514142164 506133398
1 456648553 578654471
1 460622216 146520524
1 999028509 290493448
1 331443897 797975139
1 669229663 16581633
1 705709800 312426219
1 729137640 867604276
1 270793579 502812838
1 511129290 408367608
1 104801072 455026564
1 664181447 70561201
1 969442005 453348246
1 154109279 42352449
1 303678256 144798251
1 424939172 215032460
1 359454122 473929443
1 434825697 21617316
1 161916230 464296861
1 295826835 536973040
1 91889445 931117078
1 183855179 972509067
1 643942770 221533088
1 850501028 719623164
1 620938403 488698448
1 133325205 971276614
1 32389567 851068456
1 867209394 216772769
1 211029411 68788058
1 614859607 254105485
1 970547734 857466373
1 547027231 509178610
1 277480374 425648181
1 856992693 303370822
1 960768956 507280277
1 607174462 731870868
1 393288407 43590983
1 45408700 620304793
1 264848181 362756414
1 713623214 169189203
1 160339416 525566305
1 606184582 481848306
1 841322974 82892170
2 802498050 32918121
1 774184657 911091604
1 828863218 125170484
1 916633588 606008516
1 697720191 115516095
1 970463026 226757595
1 361784095 772058586
1 852305012 767389772
1 849834201 249680010
1 556120158 862663762
1 353782437 786683763
1 636361777 863823979
1 165415506 87548702
1 937497712 229506123
1 992649422 451360589
1 142583130 595894436
1 168061072 661441299
1 981405776 812468272
